(0,1,2,3,4,5) (0,0,0,0,0,0)
(0,1,2,3,4,0) (1,0,0,0,0,0)
(0,1,1,3,4,0) (1,1,0,0,0,0)
(0,1,1,3,3,0) (1,1,0,1,0,0)
(3,1,1,3,3,0) (1,1,0,2,0,0)
(3,3,1,3,3,0) (1,1,0,2,0,0)
(0,1,2,3,4,5,6,7,8,9) (0,0,0,0,0,0,0,0,0,0)
(0,0,2,3,4,5,6,7,8,9) (1,0,0,0,0,0,0,0,0,0)
(0,0,2,2,4,5,6,7,8,9) (1,0,1,0,0,0,0,0,0,0)
(0,0,2,2,4,5,6,7,8,8) (1,0,1,0,0,0,0,0,1,0)
(0,0,2,2,4,5,6,2,8,8) (1,0,1,0,0,0,0,0,1,0)
(0,0,2,2,4,0,6,2,8,8) (1,0,1,0,0,0,0,0,1,0)
(0,0,2,2,8,0,6,2,8,8) (1,0,1,0,0,0,0,0,1,0)
(0,0,2,2,8,0,6,2,2,8) (1,0,2,0,0,0,0,0,1,0)
(0,0,2,2,8,0,0,2,2,8) (1,0,2,0,0,0,0,0,1,0)
(2,0,2,2,8,0,0,2,2,8) (1,0,2,0,0,0,0,0,1,0)
